n,domain,protocol,epsilon_h,epsilon_c,lambda,k_bits,k_uncapped,k_capped,hash_rate,deadline_sec,deposit_multiplier,premium,added_pow_cost,deadline_penalty,slash,deterrence,ic
10000,2,brr,0.2,1.0,1.0,32,39,1,262144,1.0,0.0,10.16104068,8589.92640000,97.57606046,0.00000000,8687.50246046,1
10000,2,brr,0.2,1.0,1.0,32,39,1,262144,1.0,0.5,10.16104068,8589.92640000,97.57606046,5.08052034,8692.58298080,1
10000,2,brr,0.2,1.0,1.0,32,39,1,262144,1.0,1.0,10.16104068,8589.92640000,97.57606046,10.16104068,8697.66350114,1
10000,2,brr,0.2,1.0,1.0,32,39,1,2097152,0.05,0.0,10.16104068,8589.92640000,97.57963387,0.00000000,8687.50603387,1
10000,2,brr,0.2,1.0,1.0,32,39,1,2097152,0.05,0.5,10.16104068,8589.92640000,97.57963387,5.08052034,8692.58655421,1
10000,2,brr,0.2,1.0,1.0,32,39,1,2097152,0.05,1.0,10.16104068,8589.92640000,97.57963387,10.16104068,8697.66707455,1
10000,2,brr,0.2,1.0,1.0,32,39,1,2097152,0.2,0.0,10.16104068,8589.92640000,97.57248718,0.00000000,8687.49888718,1
10000,2,brr,0.2,1.0,1.0,32,39,1,2097152,0.2,0.5,10.16104068,8589.92640000,97.57248718,5.08052034,8692.57940752,1
10000,2,brr,0.2,1.0,1.0,32,39,1,2097152,0.2,1.0,10.16104068,8589.92640000,97.57248718,10.16104068,8697.65992786,1
10000,2,brr,0.2,1.0,1.0,32,39,1,2097152,1.0,0.0,10.16104068,8589.92640000,97.53438037,0.00000000,8687.46078037,1
10000,2,brr,0.2,1.0,1.0,32,39,1,2097152,1.0,0.5,10.16104068,8589.92640000,97.53438037,5.08052034,8692.54130071,1
10000,2,brr,0.2,1.0,1.0,32,39,1,2097152,1.0,1.0,10.16104068,8589.92640000,97.53438037,10.16104068,8697.62182105,1
10000,2,brr,0.2,1.0,1.0,32,39,1,16777216,0.05,0.0,10.16104068,8589.92640000,97.56295908,0.00000000,8687.48935908,1
10000,2,brr,0.2,1.0,1.0,32,39,1,16777216,0.05,0.5,10.16104068,8589.92640000,97.56295908,5.08052034,8692.56987942,1
10000,2,brr,0.2,1.0,1.0,32,39,1,16777216,0.05,1.0,10.16104068,8589.92640000,97.56295908,10.16104068,8697.65039976,1
10000,2,brr,0.2,1.0,1.0,32,39,1,16777216,0.2,0.0,10.16104068,8589.92640000,97.50581003,0.00000000,8687.43221003,1
10000,2,brr,0.2,1.0,1.0,32,39,1,16777216,0.2,0.5,10.16104068,8589.92640000,97.50581003,5.08052034,8692.51273037,1
10000,2,brr,0.2,1.0,1.0,32,39,1,16777216,0.2,1.0,10.16104068,8589.92640000,97.50581003,10.16104068,8697.59325071,1
10000,2,brr,0.2,1.0,1.0,32,39,1,16777216,1.0,0.0,10.16104068,8589.92640000,97.20157998,0.00000000,8687.12797998,1
10000,2,brr,0.2,1.0,1.0,32,39,1,16777216,1.0,0.5,10.16104068,8589.92640000,97.20157998,5.08052034,8692.20850032,1
10000,2,brr,0.2,1.0,1.0,32,39,1,16777216,1.0,1.0,10.16104068,8589.92640000,97.20157998,10.16104068,8697.28902066,1
10000,2,brr,0.2,1.0,2.0,32,65,1,262144,0.05,0.0,10.16104068,8589.92640000,97.58171841,0.00000000,8687.50811841,1
10000,2,brr,0.2,1.0,2.0,32,65,1,262144,0.05,0.5,10.16104068,8589.92640000,97.58171841,5.08052034,8692.58863875,1
